Membership No  Date Joined  Active  
    36180      2015-10-13   no    
    81882      2016-6-11    no    
    26491      2018-10-9    no    
    12589      2016-7-1     no    
    93272      2015-5-3     yes   
    15730      2017-7-13    yes   
    22140      2016-8-18    no    
    39036      2017-2-9     yes   
    30975      2020-6-23    yes   
    44947      2019-11-25   yes   
    94794      2020-10-22   no    
    33509      2018-9-7     yes   
    43940      2018-7-12    no    
    38558      2015-6-5     yes   
    14544      2016-12-23   yes   
    15564      2020-2-13    yes   
    82172      2019-2-19    no    
    22183      2015-7-15    yes   
    38383      2015-8-2     yes   
    25501      2019-1-16    no    
