Membership No  Date Joined  Active  
    97618      2015-8-12    yes   
    32974      2015-12-10   yes   
    73594      2016-11-11   yes   
    46756      2015-3-18    yes   
    31996      2020-11-18   yes   
    89251      2016-1-14    yes   
    21932      2016-4-19    yes   
    95336      2017-5-3     yes   
    76291      2020-7-2     no    
    12841      2016-3-1     yes   
    57900      2020-3-15    yes   
    69928      2017-2-22    no    
    69047      2015-1-1     yes   
    79772      2017-1-5     no    
    23775      2017-7-8     yes   
    97369      2017-9-25    yes   
    16227      2015-11-22   yes   
    73816      2015-2-18    no    
    88581      2018-2-16    no    
    23763      2017-10-5    no    
